phon	members
diRiZe	diriger dirigez dirigé dirigée dirigées dirigés
diskRedite	discréditer discréditez discrédité discréditée discréditées discrédités
diskyte	discuter discutez discuté discutée discutées discutés
dispaRy	disparu disparue disparues disparus disparut disparût
disp@se	dispenser dispensez dispensé dispensée dispensées dispensés
dispERse	disperser dispersez dispersé dispersée dispersées dispersés
dispoze	disposer disposez disposé disposée disposées disposés
dispyte	disputer disputez disputé disputée disputées disputés
disimyle	dissimuler dissimulez dissimulé dissimulée dissimulées dissimulés
disipe	dissiper dissipez dissipé dissipée dissipées dissipés
distile	distiller distillez distillé distillée distillées distillés
dist5ge	distinguer distinguez distingué distinguée distinguées distingués
distRE	distraie distraient distraies distrais distrait distraits
divize	diviser divisez divisé divisée divisées divisés
divORse	divorcer divorcez divorcé divorcée divorcées divorcés
divylge	divulguer divulguez divulgué divulguée divulguées divulgués
domEstike	domestiquer domestiquez domestiqué domestiquée domestiquées domestiqués
domine	dominer dominez dominé dominée dominées dominés
d§pte	dompter domptez dompté domptée domptées domptés
done	donner donnez donné donnée données donnés
dORlote	dorloter dorlotez dorloté dorlotée dorlotées dorlotés
dublE	doublai doublaient doublais doublait doublet doublets
duble	doubler doublez doublé doublée doublées doublés
dRage	draguer draguez dragué draguée draguées dragués
dRoge	droguer droguez drogué droguée droguées drogués
debale	déballer déballez déballé déballée déballées déballés
debaRke	débarquer débarquez débarqué débarquée débarquées débarqués
debaRase	débarrasser débarrassez débarrassé débarrassée débarrassées débarrassés
debite	débiter débitez débité débitée débitées débités
debORde	déborder débordez débordé débordée débordées débordés
debuSe	déboucher débouchez débouché débouchée débouchées débouchés
debutone	déboutonner déboutonnez déboutonné déboutonnée déboutonnées déboutonnés
debR@Se	débrancher débranchez débranché débranchée débranchées débranchés
debRide	débrider débridez débridé débridée débridées débridés
debRuje	débrouiller débrouillez débrouillé débrouillée débrouillées débrouillés
dekale	décaler décalez décalé décalée décalées décalés
dekapite	décapiter décapitez décapité décapitée décapitées décapités
deSaRZe	décharger déchargez déchargé déchargée déchargées déchargés
deSose	déchausser déchaussez déchaussé déchaussée déchaussées déchaussés
deSifRe	déchiffrer déchiffrez déchiffré déchiffrée déchiffrées déchiffrés
deSiRe	déchirer déchirez déchiré déchirée déchirées déchirés
deside	décider décidez décidé décidée décidées décidés
deklaRe	déclarer déclarez déclaré déclarée déclarées déclarés
dekode	décoder décodez décodé décodée décodées décodés
dekwafe	décoiffer décoiffez décoiffé décoiffée décoiffées décoiffés
dekole	décoller décollez décollé décollée décollées décollés
dekom@de	décommander décommandez décommandé décommandée décommandées décommandés
dek§tRakte	décontracter décontractez décontracté décontractée décontractées décontractés
dekoRe	décorer décorez décoré décorée décorées décorés
dekORtike	décortiquer décortiquez décortiqué décortiquée décortiquées décortiqués
dekupe	découper découpez découpé découpée découpées découpés
dekuRaZe	décourager découragez découragé découragée découragées découragés
dekRoSe	décrocher décrochez décroché décrochée décrochées décrochés
dekRepi	décrépi décrépie décrépies décrépis décrépit décrépits
dedikase	dédicacer dédicacez dédicacé dédicacée dédicacées dédicacés
dedje	dédier dédiez dédié dédiée dédiées dédiés
deduble	dédoubler dédoublez dédoublé dédoublée dédoublées dédoublés
def§se	défoncer défoncez défoncé défoncée défoncées défoncés
defORme	déformer déformez déformé déformée déformées déformés
degaZe	dégager dégagez dégagé dégagée dégagées dégagés
deZ°le	dégeler dégelez dégelé dégelée dégelées dégelés
degome	dégommer dégommez dégommé dégommée dégommées dégommés
deg§fle	dégonfler dégonflez dégonflé dégonflée dégonflées dégonflés
degutE	dégouttaient dégouttait dégoûtai dégoûtaient dégoûtais dégoûtait
degRade	dégrader dégradez dégradé dégradée dégradées dégradés
degRafe	dégrafer dégrafez dégrafé dégrafée dégrafées dégrafés
degize	déguiser déguisez déguisé déguisée déguisées déguisés
degyste	déguster dégustez dégusté dégustée dégustées dégustés
de@Se	déhancher déhanchez déhanché déhanchée déhanchées déhanchés
delimite	délimiter délimitez délimité délimitée délimitées délimités
delivRe	délivrer délivrez délivré délivrée délivrées délivrés
dem@t°le	démanteler démantelez démantelé démantelée démantelées démantelés
demaRe	démarrer démarrez démarré démarrée démarrées démarrés
dem@bRe	démembrer démembrez démembré démembrée démembrées démembrés
dem§te	démonter démontez démonté démontée démontées démontés
dem§tRe	démontrer démontrez démontré démontrée démontrées démontrés
deniSe	dénicher dénichez déniché dénichée dénichées dénichés
den§se	dénoncer dénoncez dénoncé dénoncée dénoncées dénoncés
depase	dépasser dépassez dépassé dépassée dépassées dépassés
dep@se	dépenser dépensez dépensé dépensée dépensées dépensés
deplase	déplacer déplacez déplacé déplacée déplacées déplacés
deplwaje	déployer déployez déployé déployée déployées déployés
depORte	déporter déportez déporté déportée déportées déportés
depoze	déposer déposez déposé déposée déposées déposés
depuje	dépouiller dépouillez dépouillé dépouillée dépouillées dépouillés
depRime	déprimer déprimez déprimé déprimée déprimées déprimés
deR@Ze	déranger dérangez dérangé dérangée dérangées dérangés
deRive	dériver dérivez dérivé dérivée dérivées dérivés
deRobe	dérober dérobez dérobé dérobée dérobées dérobés
deRule	dérouler déroulez déroulé déroulée déroulées déroulés
deRute	dérouter déroutez dérouté déroutée déroutées déroutés
dezaktive	désactiver désactivez désactivé désactivée désactivées désactivés
dezamORse	désamorcer désamorcez désamorcé désamorcée désamorcées désamorcés
dezaRme	désarmer désarmez désarmé désarmée désarmées désarmés
dezEspeRe	désespérer désespérez désespéré désespérée désespérées désespérés
dezabije	déshabiller déshabillez déshabillé déshabillée déshabillées déshabillés
dezonoRe	déshonorer déshonorez déshonoré déshonorée déshonorées déshonorés
dez5fEkte	désinfecter désinfectez désinfecté désinfectée désinfectées désinfectés
deziRe	désirer désirez désiré désirée désirées désirés
dezole	désoler désolez désolé désolée désolées désolés
dezekilibRe	déséquilibrer déséquilibrez déséquilibré déséquilibrée déséquilibrées déséquilibrés
detaSe	détacher détachez détaché détachée détachées détachés
detaje	détailler détaillez détaillé détaillée détaillées détaillés
detEkte	détecter détectez détecté détectée détectées détectés
det°le	dételer dételez dételé dételée dételées dételés
detERmine	déterminer déterminez déterminé déterminée déterminées déterminés
detuRne	détourner détournez détourné détournée détournées détournés
dev°lope	développer développez développé développée développées développés
devERse	déverser déversez déversé déversée déversées déversés
devise	dévisser dévissez dévissé dévissée dévissées dévissés
devwale	dévoiler dévoilez dévoilé dévoilée dévoilées dévoilés
devoRe	dévorer dévorez dévoré dévorée dévorées dévorés
devwaje	dévoyer dévoyez dévoyé dévoyée dévoyées dévoyés
efase	effacer effacez effacé effacée effacées effacés
efl9Re	effleurer effleurez effleuré effleurée effleurées effleurés
ef§dRe	effondrer effondrez effondré effondrée effondrées effondrés
@bale	emballer emballez emballé emballée emballées emballés
@baRke	embarquer embarquez embarqué embarquée embarquées embarqués
@baRase	embarrasser embarrassez embarrassé embarrassée embarrassées embarrassés
@boSe	embaucher embauchez embauché embauchée embauchées embauchés
@bome	embaumer embaumez embaumé embaumée embaumées embaumés
@bobine	embobiner embobinez embobiné embobinée embobinées embobinés
@bRaze	embraser embrasez embrasé embrasée embrasées embrasés
@bRase	embrasser embrassez embrassé embrassée embrassées embrassés
@bRoSe	embrocher embrochez embroché embrochée embrochées embrochés
@bRuje	embrouiller embrouillez embrouillé embrouillée embrouillées embrouillés
@m°ne	emmener emmenez emmené emmenée emmenées emmenés
@mitufle	emmitoufler emmitouflez emmitouflé emmitouflée emmitouflées emmitouflés
@paje	empailler empaillez empaillé empaillée empaillées empaillés
@paRe	emparer emparez emparé emparée emparées emparés
@pile	empiler empilez empilé empilée empilées empilés
@piRe	empirer empirez empiré empirée empyrée empyrées
@poSe	empocher empochez empoché empochée empochées empochés
@pwazone	empoisonner empoisonnez empoisonné empoisonnée empoisonnées empoisonnés
@pORte	emporter emportez emporté emportée emportées emportés
@pRizone	emprisonner emprisonnez emprisonné emprisonnée emprisonnées emprisonnés
@pR1te	emprunter empruntez emprunté empruntée empruntées empruntés
@kadRe	encadrer encadrez encadré encadrée encadrées encadrés
@sERkle	encercler encerclez encerclé encerclée encerclées encerclés
@S@te	enchanter enchantez enchanté enchantée enchantées enchantés
@kl@Se	enclencher enclenchez enclenché enclenchée enclenchées enclenchés
@k§bRe	encombrer encombrez encombré encombrée encombrées encombrés
@kuRaZe	encourager encouragez encouragé encouragée encouragées encouragés
@domaZe	endommager endommagez endommagé endommagée endommagées endommagés
@dORmi	endormi endormie endormies endormis endormit endormît
@dose	endosser endossez endossé endossée endossées endossés
@dyRe	endurer endurez enduré endurée endurées endurés
@fERme	enfermer enfermez enfermé enfermée enfermées enfermés
@file	enfiler enfilez enfilé enfilée enfilées enfilés
@flame	enflammer enflammez enflammé enflammée enflammées enflammés
@f§se	enfoncer enfoncez enfoncé enfoncée enfoncées enfoncés
@f8i	enfui enfuie enfuient enfuies enfuis enfuit
@fyme	enfumer enfumez enfumé enfumée enfumées enfumés
@gaZe	engager engagez engagé engagée engagées engagés
@Z@dRe	engendrer engendrez engendré engendrée engendrées engendrés
@nivRe	enivrer enivrez enivré enivrée enivrées enivrés
@Z@be	enjamber enjambez enjambé enjambée enjambées enjambés
@lase	enlacer enlacez enlacé enlacée enlacées enlacés
@l°ve	enlever enlevez enlevé enlevée enlevées enlevés
@R°ZistRe	enregistrer enregistrez enregistré enregistrée enregistrées enregistrés
@Ryme	enrhumer enrhumez enrhumé enrhumée enrhumées enrhumés
@Rule	enrouler enroulez enroulé enroulée enroulées enroulés
